bootstrap_iteration,ari,n_clusters,n_models
1,0.8091223954992761,5,32
2,0.9013363713629541,5,32
3,0.8215368799794397,5,32
4,0.8091223954992761,5,32
5,1.0,5,32
6,0.9557372075175355,5,32
7,0.8172338191130681,5,32
8,0.5236965486075806,5,32
9,1.0,5,32
10,0.4747887025663734,5,32
11,0.8091223954992761,5,32
12,0.9013363713629541,5,32
13,0.9013363713629541,5,32
14,0.4000989572834393,5,32
15,0.5808844239977466,5,32
16,0.5808844239977466,5,32
17,0.9013363713629541,5,32
18,0.9557372075175355,5,32
19,0.8091223954992761,5,32
20,0.9013363713629541,5,32
21,0.9013363713629541,5,32
22,0.8145794392523364,5,32
23,0.9013363713629541,5,32
24,1.0,5,32
25,0.4411792319969956,5,32
26,0.8215368799794397,5,32
27,0.9013363713629541,5,32
28,0.6655742182165779,5,32
29,0.9013363713629541,5,32
30,1.0,5,32
31,0.8091223954992761,5,32
32,0.8091223954992761,5,32
33,0.9013363713629541,5,32
34,0.8215368799794397,5,32
35,0.9557372075175355,5,32
36,0.9013363713629541,5,32
37,0.9013363713629541,5,32
38,0.9013363713629541,5,32
39,0.8043159130945391,5,32
40,1.0,5,32
41,0.8091223954992761,5,32
42,0.8091223954992761,5,32
43,0.7506660634394008,5,32
44,1.0,5,32
45,0.8091223954992761,5,32
46,0.5236965486075806,5,32
47,0.9013363713629541,5,32
48,0.9013363713629541,5,32
49,0.9013363713629541,5,32
50,1.0,5,32
51,0.7243678799666574,5,32
52,0.41643789568043027,5,32
53,0.9013363713629541,5,32
54,0.8091223954992761,5,32
55,0.8091223954992761,5,32
56,0.9557372075175355,5,32
57,0.5089576392194193,5,32
58,0.9013363713629541,5,32
59,0.9013363713629541,5,32
60,0.9144517066085693,5,32
61,1.0,5,32
62,0.9013363713629541,5,32
63,0.4411792319969956,5,32
64,0.9013363713629541,5,32
65,0.47700013180440226,5,32
66,0.6480101592993072,5,32
67,0.9013363713629541,5,32
68,0.5808844239977466,5,32
69,0.8091223954992761,5,32
70,0.41643789568043027,5,32
71,1.0,5,32
72,0.9013363713629541,5,32
73,0.3581288343558282,5,32
74,0.9013363713629541,5,32
75,0.5808844239977466,5,32
76,0.6480101592993072,5,32
77,0.7506660634394008,5,32
78,0.8091223954992761,5,32
79,0.9013363713629541,5,32
80,0.8091223954992761,5,32
81,0.9013363713629541,5,32
82,0.9013363713629541,5,32
83,0.8091223954992761,5,32
84,0.9013363713629541,5,32
