developer,model,consistency_score,mean_cv
Google,gemma-3-1b-it,0.7797978109574653,0.2823836973486271
Anthropic,claude-3-haiku-20240307,0.7593243014162666,0.3169603529543741
OpenAI,o1-mini,0.7281080714008443,0.3734224894335384
OpenAI,o3-mini,0.72592838274749,0.3775463582443287
Google,gemma-3-4b-it,0.7116574594606492,0.40517040425302336
Google,gemini-2.0-flash,0.7110610190270583,0.4063490660313451
Anthropic,claude-3-5-haiku-20241022,0.7044659300296845,0.41951506435217156
OpenAI,gpt-4.1-nano,0.7003458295601495,0.42786600246916257
Meta,Llama-4-Scout-17B,0.6968615976539473,0.43500517658972426
DeepSeek,DeepSeek-V3-0324,0.685116939595407,0.45960483854120737
xAI,grok-2-latest,0.6812267498916053,0.46794000699343785
Meta,Llama-4-Maverick-17B,0.6802198843458915,0.4701128605812712
Anthropic,claude-3-5-sonnet-20241022,0.6771640970385259,0.47674692792093953
DeepSeek,DeepSeek-V3,0.6748942481913489,0.4817136205855998
OpenAI,o3,0.6657174066752138,0.5021388805113128
OpenAI,gpt-4o,0.6638425379611724,0.5063813220997433
Google,gemma-3-27b-it,0.659494349291582,0.5163132194751685
Alibaba,Qwen3-235B-A22B-FP8,0.6592182327619833,0.5169483341051021
Meta,Llama-3.3-70B-Instruct-Turbo,0.6564317003804654,0.523387733134161
OpenAI,gpt-4o-mini,0.6516924654499153,0.5344661063552731
OpenAI,gpt-4.1-mini,0.649704024508366,0.5391623913007229
OpenAI,gpt-4.1,0.6434904822006428,0.5540245390734408
Google,gemma-3-12b-it,0.6363438193500817,0.5714775088431472
Anthropic,claude-3-7-sonnet-20250219,0.6301661154541061,0.5868831653688437
xAI,grok-3-fast-latest,0.6236492237746516,0.6034654768709187
Google,gemini-2.0-flash-lite,0.6228695018898662,0.6054727305894272
xAI,grok-3-latest,0.6221643106865,0.6072924512442601
DeepSeek,DeepSeek-R1,0.618627216540688,0.6164823875546842
xAI,grok-3-mini-latest,0.6129725429556939,0.6313944425277148
OpenAI,o4-mini,0.6128783732505874,0.6316451087940907
xAI,grok-3-mini-fast-latest,0.6101367995106053,0.6389767029330252
Alibaba,Qwen2.5-VL-7B-Instruct,0.5993056351925922,0.6685976925256862
Google,gemini-2.0-pro-exp,0.5918919406321245,0.689497577770745
Google,gemini-2.5-pro-preview-03-25,0.5818782147944939,0.718572674787588
Google,gemini-2.0-flash-thinking-exp,0.5482545236262317,0.8239703584858012
Google,gemini-2.5-flash-preview-04-17,0.5482474795417392,0.8239937935252613
