developer,model,total_trials,missing_trials,overall_mdr,reliability,Q1_mdr,Q2_mdr,Q3_mdr,Q4_mdr
Meta,Llama-4-Scout-17B,120,43,0.35833333333333334,0.6416666666666666,0.35833333333333334,0.35833333333333334,0.35833333333333334,0.35833333333333334
Alibaba,Qwen3-235B-A22B-FP8,120,40,0.3333333333333333,0.6666666666666667,0.175,0.175,0.19166666666666668,0.3333333333333333
Google,gemini-2.5-pro-preview-03-25,120,21,0.175,0.825,0.175,0.175,0.175,0.175
Google,gemma-3-1b-it,120,20,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Google,gemini-2.0-pro-exp,27,4,0.14814814814814814,0.8518518518518519,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814
Google,gemini-2.5-flash-preview-04-17,120,11,0.09166666666666666,0.9083333333333333,0.09166666666666666,0.09166666666666666,0.09166666666666666,0.09166666666666666
Alibaba,Qwen2.5-VL-7B-Instruct,120,11,0.09166666666666666,0.9083333333333333,0.0,0.0,0.09166666666666666,0.008333333333333333
Google,gemini-2.0-flash-thinking-exp,120,8,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Google,gemini-2.0-flash,120,1,0.008333333333333333,0.9916666666666667,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333
OpenAI,o4-mini,120,1,0.008333333333333333,0.9916666666666667,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333
OpenAI,o3-mini,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,o3,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,o1-mini,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,gpt-4.1,120,0,0.0,1.0,0.0,0.0,0.0,0.0
xAI,grok-2-latest,120,0,0.0,1.0,0.0,0.0,0.0,0.0
xAI,grok-3-fast-latest,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,gpt-4o-mini,120,0,0.0,1.0,0.0,0.0,0.0,0.0
xAI,grok-3-latest,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,gpt-4o,120,0,0.0,1.0,0.0,0.0,0.0,0.0
xAI,grok-3-mini-fast-latest,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,gpt-4.1-nano,120,0,0.0,1.0,0.0,0.0,0.0,0.0
OpenAI,gpt-4.1-mini,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Google,gemma-3-4b-it,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Meta,Llama-4-Maverick-17B,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Meta,Llama-3.3-70B-Instruct-Turbo,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Google,gemma-3-27b-it,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Google,gemma-3-12b-it,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Google,gemini-2.0-flash-lite,120,0,0.0,1.0,0.0,0.0,0.0,0.0
DeepSeek,DeepSeek-V3-0324,120,0,0.0,1.0,0.0,0.0,0.0,0.0
DeepSeek,DeepSeek-V3,120,0,0.0,1.0,0.0,0.0,0.0,0.0
DeepSeek,DeepSeek-R1,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Anthropic,claude-3-haiku-20240307,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Anthropic,claude-3-7-sonnet-20250219,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Anthropic,claude-3-5-sonnet-20241022,120,0,0.0,1.0,0.0,0.0,0.0,0.0
Anthropic,claude-3-5-haiku-20241022,120,0,0.0,1.0,0.0,0.0,0.0,0.0
xAI,grok-3-mini-latest,120,0,0.0,1.0,0.0,0.0,0.0,0.0
