developer,model,n_assessments,eta2_M_persona,p_value_M_persona,f_statistic_M_persona
Google,gemma-3-1b-it,100,0.39162405387350047,2.1870921691478336e-10,20.59905524493935
xAI,grok-2-latest,120,0.17031850354591307,7.351791769050647e-05,7.937562585065735
xAI,grok-3-fast-latest,120,0.15053325018787678,0.00027272748273542944,6.852085745029944
xAI,grok-3-latest,120,0.11673668087171483,0.0023408537794720975,5.110388068072883
Google,gemma-3-4b-it,120,0.10942380263244501,0.003671091081896325,4.750917118933109
Alibaba,Qwen2.5-VL-7B-Instruct,109,0.08564256943650796,0.023920486999888756,3.2782474665629535
OpenAI,o1-mini,120,0.07302044056360389,0.03159431447845341,3.0458676314747213
Google,gemini-2.0-flash-lite,120,0.0709705316059133,0.03549682862984623,2.9538286804890816
Google,gemini-2.5-flash-preview-04-17,109,0.05512282357993554,0.11250694709824627,2.0418514421180536
Meta,Llama-4-Scout-17B,77,0.05471812924930618,0.2471779335554271,1.4085475661798064
Google,gemini-2.0-pro-exp,23,0.05425427506349666,1.0,0.0
Google,gemini-2.0-flash-thinking-exp,112,0.046169176450529356,0.16262610593529497,1.7425420852242495
OpenAI,gpt-4.1-nano,120,0.04183915038817103,0.17334042222158852,1.6884226508851237
OpenAI,gpt-4.1,120,0.04175111471422783,0.17413244561512822,1.6847151720248152
Anthropic,claude-3-5-sonnet-20241022,120,0.03826898358886232,0.20824541659046092,1.5386152748037103
OpenAI,o3-mini,120,0.03709633558174871,0.22103373469444088,1.4896522835032384
Meta,Llama-4-Maverick-17B,120,0.0318849559806883,0.28680685385600496,1.2734901416964461
DeepSeek,DeepSeek-R1,120,0.03087998398208905,0.30131434274271285,1.2320724240261447
Google,gemma-3-12b-it,120,0.028696266250143498,0.33505087749035695,1.142370736482695
Google,gemma-3-27b-it,120,0.027293844367015107,0.35838253827013006,1.0849751243781096
DeepSeek,DeepSeek-V3-0324,120,0.02695702262719826,0.3641864346646411,1.0712149745594586
Alibaba,Qwen3-235B-A22B-FP8,80,0.02693551793226301,0.5541978402262121,0.7012551242585543
OpenAI,gpt-4o-mini,120,0.02556827748779261,0.38895449804721427,1.0145811553758461
DeepSeek,DeepSeek-V3,120,0.02431952158456173,0.4123996665795442,0.9637938396904757
xAI,grok-3-mini-latest,120,0.022264271653893945,0.4534652525441719,0.8804886081778619
Anthropic,claude-3-5-haiku-20241022,120,0.02170472448939373,0.4651869898948724,0.857869160704257
Google,gemini-2.0-flash,119,0.021550104750941913,0.4723724396504271,0.844281708033535
OpenAI,gpt-4o,120,0.020933500065441868,0.48172555938057837,0.8267351290756934
OpenAI,gpt-4.1-mini,120,0.01832254841804567,0.5410004173615461,0.7216951668012167
Google,gemini-2.5-pro-preview-03-25,99,0.015814053572035355,0.677141037562585,0.5088249481025335
Anthropic,claude-3-haiku-20240307,120,0.015630035449564924,0.6072962863131002,0.6139575489714628
OpenAI,o3,120,0.010326168892497717,0.7507914619817809,0.40344456725009586
OpenAI,o4-mini,119,0.009301168981413747,0.7820753363289417,0.35989222939489307
xAI,grok-3-mini-fast-latest,120,0.0068409523467518945,0.8495399298421347,0.2663388353551606
Anthropic,claude-3-7-sonnet-20250219,120,0.004119167267210601,0.9230745096324457,0.15993325951300164
Meta,Llama-3.3-70B-Instruct-Turbo,120,0.003461005999077078,0.9394357012413328,0.13429034498726555
