developer,model,temperature,pooled_variance,n_values
Alibaba,Qwen2.5-VL-7B-Instruct,0.1,1132.4579831932774,120
Alibaba,Qwen2.5-VL-7B-Instruct,0.4,1139.1806722689075,120
Alibaba,Qwen2.5-VL-7B-Instruct,0.7,1144.2485007496252,116
Alibaba,Qwen2.5-VL-7B-Instruct,0.9,1128.1012658227849,80
Alibaba,Qwen3-235B-A22B-FP8,0.1,958.489608217869,92
Alibaba,Qwen3-235B-A22B-FP8,0.4,912.7850877192983,76
Alibaba,Qwen3-235B-A22B-FP8,0.7,972.640625,64
Alibaba,Qwen3-235B-A22B-FP8,0.9,951.987330198537,88
Anthropic,claude-3-5-haiku-20241022,0.1,663.4383753501401,120
Anthropic,claude-3-5-haiku-20241022,0.4,594.7461484593837,120
Anthropic,claude-3-5-haiku-20241022,0.7,591.5108543417366,120
Anthropic,claude-3-5-haiku-20241022,0.9,660.7125350140057,120
Anthropic,claude-3-5-sonnet-20241022,0.1,871.6228991596639,120
Anthropic,claude-3-5-sonnet-20241022,0.4,848.1074929971988,120
Anthropic,claude-3-5-sonnet-20241022,0.7,825.7352941176471,120
Anthropic,claude-3-5-sonnet-20241022,0.9,850.1400560224089,120
Anthropic,claude-3-7-sonnet-20250219,0.1,961.4845938375349,120
Anthropic,claude-3-7-sonnet-20250219,0.4,923.3823529411765,120
Anthropic,claude-3-7-sonnet-20250219,0.7,954.4100140056023,120
Anthropic,claude-3-7-sonnet-20250219,0.9,988.4873949579832,120
Anthropic,claude-3-haiku-20240307,0.1,408.71148459383755,120
Anthropic,claude-3-haiku-20240307,0.4,354.5098039215686,120
Anthropic,claude-3-haiku-20240307,0.7,407.0798319327731,120
Anthropic,claude-3-haiku-20240307,0.9,472.09383753501396,120
DeepSeek,DeepSeek-R1,0.1,1077.9761904761904,120
DeepSeek,DeepSeek-R1,0.4,990.5042016806723,120
DeepSeek,DeepSeek-R1,0.7,924.782913165266,120
DeepSeek,DeepSeek-R1,0.9,997.7240896358543,120
DeepSeek,DeepSeek-V3,0.1,624.9982492997201,120
DeepSeek,DeepSeek-V3,0.4,585.2783613445379,120
DeepSeek,DeepSeek-V3,0.7,633.1302521008404,120
DeepSeek,DeepSeek-V3,0.9,635.1102941176471,120
DeepSeek,DeepSeek-V3-0324,0.1,636.0224089635856,120
DeepSeek,DeepSeek-V3-0324,0.4,647.5472689075631,120
