developer,model,temperature,pooled_variance,n_values,r_T_sigma2,controllability
Google,gemini-2.0-flash,0.1,429.2647058823529,120,0.9673543071830173,0.9673543071830173
Google,gemini-2.0-flash,0.4,468.8217787114847,120,0.9673543071830173,0.9673543071830173
Google,gemini-2.0-flash,0.7,483.5276610644258,120,0.9673543071830173,0.9673543071830173
Google,gemini-2.0-flash,0.9,531.2799850074963,116,0.9673543071830173,0.9673543071830173
Google,gemma-3-1b-it,0.1,694.8949579831933,120,-0.039237872092427406,0.039237872092427406
Google,gemma-3-1b-it,0.4,297.98207282913165,120,-0.039237872092427406,0.039237872092427406
Google,gemma-3-1b-it,0.7,300.9453781512605,120,-0.039237872092427406,0.039237872092427406
Google,gemma-3-1b-it,0.9,720.5128205128206,40,-0.039237872092427406,0.039237872092427406
OpenAI,gpt-4o-mini,0.1,808.3821202531645,80,-0.9824633457246763,0.9824633457246763
OpenAI,gpt-4o-mini,0.4,729.2997198879553,120,-0.9824633457246763,0.9824633457246763
OpenAI,gpt-4o-mini,0.7,700.1943277310925,120,-0.9824633457246763,0.9824633457246763
OpenAI,gpt-4o-mini,0.9,639.5728291316527,120,-0.9824633457246763,0.9824633457246763
